Smudge49,,Ladda CC,,Mithuphetamine,,Suvaan,,Johnthedon69,,Arrow,,Falcon,
,,,,,,,,,,,,,
Buttler,60,Miller,6,Brewis,70,Rickelton,35,markram,70,Stubbs ,31,Tongue,5
Brook,70,Nortje,15,linde,20,smith,16,rabada,50,Bosch ,21,De Kock,75
Dawson,16,Salt,70,mwaphaka,5,jansen,60,duckett,8,Gurbaz,30,Maharaj,30
Rashid,55,Overton,11,banton,25,bethel,35,will jacks ,55,Nabi ,11,Rashid Khan,55
mujeeb,17,I Zadran,5,curran ,55,rasooli,12,jofra archer,70,Omarzai ,16,zampa,29
Chase,5,J Charles,5,naib,5,noor,40,travis head,70,Hope ,16,Phillips,20
Cooper,5,A Hosein,15,farooqi,30,hetmyer,30,conway,10,King ,6,Rachin ,13
Maxwell,15,Stoinis,15,powell,10,holder,6,bracewell,5,Rutherford ,25,Ish Sodhi,5
Santa,50,Mitchell,17,motie,5,shephard,15,pathirana,15,Forde ,10,Axar,44
Mishara,5,Theekshana,5,green,50,ingles,19,samson,5,M Marsh,50,Chakaravarty,50
Babar,13,R Singh,35,ellis,25,david,35,tector ,26,Seifert ,16,Raza,42
Agha,28,A Sharma,70,hazlewood,20,bartlett,11,jasdeep,5,Ferguson,20,wayne madsen,11
Saim,5,H Pandya,120,duffy,20,allen,27,,,Jamieson,10,George Munsey,13
nawaz,5,H Rana,7,kamindu mendis,5,henry,9,,,Mendis ,6,Jatinder Singh ,7
naseem,9,K Yadav,20,dube,42,nissanka,15,,,Shanaka ,20,Saiteja Mukkamal ,5
Sandeep,5,A Ahmed,41,arshdeep,30,chameera,11,,,Hasaranga ,20,,
Ryan,5,Blessing,17,shaheen,15,kishan,50,,,Wellalage ,5,,
stirling,5,Max ODowd,6,bas de leede ,6,tilak,60,,,Sky ,80,,
Tucker,5,Waseem,17,van beek ,11,tariq,5,,,Bumrah ,80,,
camphor,11,,,anthony mosca ,5,,,,,Fakhar ,11,,
monak,21,,,krishnamurthi,15,,,,,Shadab Khan,5,,
gous,13,,,,,,,,,Yuvraj samra ,11,,
ali khan,19,,,,,,,,,,,,
,,,,,,,,,,,,,
,58,,3,,31,,9,,111,,0,,96